timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733186824,173,OpenCheckout,200,OK,S01_Browse_And_Checkout 1-2,text,true,,65800,769,5,5,http://localhost/checkout,169,0,0
1788733187031,118,ProceedToCheckout,200,OK,S01_Browse_And_Checkout 1-2,text,true,,65800,1018,5,5,http://localhost/checkout,117,0,0
1788733187426,171,S01_Browse_And_Checkout_T05_NavigateToChairs,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,46976,778,5,5,null,0,2,0
1788733187427,171,NavigateToChairs,200,OK,S01_Browse_And_Checkout 1-1,text,true,,46976,778,5,5,http://localhost/chairs,170,0,0
1788733188249,252,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,53066,598,5,5,null,0,7,0
1788733188252,252,OpenApplication,200,OK,S01_Browse_And_Checkout 1-4,text,true,,53066,598,5,5,http://localhost/,202,0,0
1788733188396,181,S01_Browse_And_Checkout_T05_NavigateToChairs,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,46976,790,5,5,null,0,1,0
1788733188396,181,NavigateToChairs,200,OK,S01_Browse_And_Checkout 1-3,text,true,,46976,790,5,5,http://localhost/chairs,179,0,0
1788733189779,177,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,53066,598,5,5,null,0,5,0
1788733189782,177,OpenApplication,200,OK,S01_Browse_And_Checkout 1-5,text,true,,53066,598,5,5,http://localhost/,169,0,0
1788733190509,153,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,50851,763,5,5,null,0,2,0
1788733190510,153,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-4,text,true,,50851,763,5,5,http://localhost/tables,152,0,0
1788733191324,64,S01_Browse_And_Checkout_T10_FillCheckoutFields,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,612,959,5,5,null,0,1,0
1788733191324,64,FillCheckoutFields,200,OK,S01_Browse_And_Checkout 1-2,text,true,,612,959,5,5,http://localhost/wp-admin/admin-ajax.php,64,0,0
1788733191524,149,S01_Browse_And_Checkout_T06_OpenChairProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,46731,786,5,5,null,0,3,0
1788733191525,149,OpenChairProductCard,200,OK,S01_Browse_And_Checkout 1-1,text,true,,46731,786,5,5,http://localhost/products/ancient-chair5,148,0,0
1788733191792,148,S01_Browse_And_Checkout_T06_OpenChairProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,46989,785,5,5,null,0,3,0
1788733191792,148,OpenChairProductCard,200,OK,S01_Browse_And_Checkout 1-3,text,true,,46989,785,5,5,http://localhost/products/modern-chair6,147,0,0
1788733191962,153,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,50851,763,5,5,null,0,1,0
1788733191963,153,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-5,text,true,,50851,763,5,5,http://localhost/tables,152,0,0
1788733193874,195,S01_Browse_And_Checkout_T03_OpenTableProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,47113,790,5,5,null,0,3,0
1788733193875,195,OpenTableProductCard,200,OK,S01_Browse_And_Checkout 1-4,text,true,,47113,790,5,5,http://localhost/products/living-room-table6,144,0,0
1788733195062,114,S01_Browse_And_Checkout_T07_AddChairToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,778,1081,5,5,null,0,3,0
1788733195063,114,AddChairToCart,200,OK,S01_Browse_And_Checkout 1-1,text,true,,778,1081,5,5,http://localhost/wp-admin/admin-ajax.php,114,0,0
1788733196470,69,S01_Browse_And_Checkout_T07_AddChairToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,778,1081,5,5,null,0,3,0
1788733196471,69,AddChairToCart,200,OK,S01_Browse_And_Checkout 1-3,text,true,,778,1081,5,5,http://localhost/wp-admin/admin-ajax.php,69,0,0
1788733196279,256,S01_Browse_And_Checkout_T11_SubmitOrder,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,508,6668,5,5,null,0,35,0
1788733196313,256,SubmitOrder,302,Found,S01_Browse_And_Checkout 1-2,text,true,,508,6668,5,5,http://localhost/checkout,256,0,0
1788733196536,217,S01_Browse_And_Checkout_T03_OpenTableProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,47334,790,5,5,null,0,3,0
1788733196537,217,OpenTableProductCard,200,OK,S01_Browse_And_Checkout 1-5,text,true,,47334,790,5,5,http://localhost/products/living-room-table7,168,0,0
